,LR,XGB,RFR,GBR,SVR
cat__bidang_Teknik Biomedik,4.607752631506029,0.0,0.0,0.0,
cat__kota_asal_Banda Aceh,-5.577467304850151,0.0,0.0,0.0,0.0016668585721052564
cat__bidang_Teknik Elektro,-4.076093778625948,0.0,0.0,0.0,
cat__mental_lelah_False,3.8250967732474352,0.08621728,0.004826590986405491,0.0030819458199940492,
cat__mental_lelah_True,-3.8250967732474352,0.0,0.0,0.0044405895182854736,
cat__bidang_Sains Aktuaria,-3.7267523243157807,0.0,0.0,0.0,
cat__bidang_Kimia,3.4653624154674123,0.0,0.0,0.0,
cat__status_keaktifan_Aktif,-3.3933096215639775,0.0,0.0,0.0,
cat__bidang_Fisika,-3.324911849120701,0.0,0.0,0.0,
cat__kota_asal_Semarang,-4.018749015603921,0.0,0.0,0.0,0.0041850628230599264
cat__status_keaktifan_Tugas Belajar (di PDDikti),3.205034935634188,0.0,0.0,0.0,
cat__bidang_Teknik Material,3.079903929183597,0.0,0.0,0.0,
cat__fisik_kepala_False,-2.836677146883969,0.14399275,0.02075749030477552,0.043258764871084016,
cat__kota_asal_Purwokerto,3.7403945270895953,0.0,0.0,0.0,0.02692263969629156
cat__jabatan_fungsional_Non Jabatan Fungsional,2.935417185404941,0.038570885,0.0,0.01814389848366564,
cat__fisik_kepala_True,2.836677146883969,0.0,0.025917862582366818,0.05388830382838532,
work_life_balance,-2.4723809873744163,0.27015793,0.4167806036912853,0.3434480106598533,0.004638972451330925
cat__bidang_Desain Komunikasi Visual,-2.784466759924222,0.0,0.0,0.0,
cat__mental_insomnia_False,2.7712420749222657,0.0,0.0,0.0,
cat__mental_insomnia_True,-2.771242074922265,0.0,0.0,0.0,
cat__bidang_Teknik Mesin,2.4794378117009033,0.0,0.0,0.0,
cat__jarak_11 - 15 km,-2.439060485595204,0.0,0.0,0.0,
cat__jabatan_fungsional_Lektor,-2.1612190964833387,0.037116494,0.1235781550266224,0.07045681768669657,
cat__kota_asal_Pringsewu,2.9759399272654457,0.0,0.0,0.0,0.008749474044461424
cat__kota_asal_Cirebon,2.89328149366555,0.0,0.0,0.0,0.007494713448547618
cat__bidang_Sains Lingkungan Kelautan,2.219334122900715,0.0,0.0,0.0,
usia_anak,-2.6694890634587356,0.0,0.006794637754907185,0.00710482127443701,0.014634639473510114
cat__bidang_ilmu klmunikasi,-2.117055402656649,0.0,0.0,0.0,
cat__kota_asal_Bogor,-2.6272393792484037,0.0,0.0,0.0,0.007737828079106812
cat__bidang_Hukum,2.1014409890670103,0.0,0.0,0.0,
cat__mode_bekerja_Hybrid,2.090431783208731,0.0,0.0009470827018267588,0.004916410942558679,
cat__mode_bekerja_On-site,-2.0904317832087314,0.0,0.0012551998461944932,0.0027431620940717746,
cat__mental_iritate_True,2.054578456341287,0.0,0.0,0.0,
cat__mental_iritate_False,-2.0545784563412863,0.0,0.0,0.0,
cat__jarak_1 - 5 km,1.9443386880002245,0.034123838,0.02388287974763364,0.04422376029606929,
cat__kota_asal_Jakarta,2.501301294764219,0.0,0.0,0.0,0.00774071102524877
gaji_sesuai,2.4832999959502597,0.0,0.007538089363749033,0.009043523078610448,0.0035291360392259107
cat__kota_asal_Padang,2.4794378117009046,0.0,0.0,0.0,0.011054393507941651
cat__bidang_Sosiologi,-1.8667943214077727,0.0,0.0,0.0,
cat__bidang_Teknik Sipil,-1.8490859126321715,0.0,0.0,0.0,
cat__mental_distress_False,-1.784807568266461,0.0,0.005231195753528222,0.010881101835990217,
cat__mental_distress_True,1.7848075682664617,0.0,0.002694203227598076,0.009986330688244902,
cat__kota_asal_Lampung,-2.1582055361713994,0.0,0.0,0.0,0.017523351853325642
cat__jabatan_struktural_Setingkat Dekan dan Kepala UPA / UPT,-1.7221652411076338,0.0,0.0,0.0,
cat__kota_asal_Bandar Lampunh,-2.1170554026566495,0.0,0.0,0.0,0.011067765788196893
mhs_bimbingan,-1.9753851022493256,0.050203986,0.018572963631101946,0.016623895574170586,0.0044634786481758115
cat__bidang_Ilmu kelautan,-1.6243827374465023,0.0,0.0,0.0,
cat__mental_anxiety_False,-1.4447538239783404,0.06252638,0.029194361879970203,0.033371146459895196,
cat__mental_anxiety_True,1.4447538239783404,0.0,0.05170260008185918,0.07336574544249537,
cat__bidang_Manajemen,-1.5013735262242054,0.0,0.0,0.0,
cat__jabatan_struktural_Jabatan Struktural Lainnya,1.4976655310946316,0.0,0.0,0.0,
cat__bidang_Cybersecurity,1.4976655310946316,0.0,0.0,0.0,
cat__mental_konsentrasi_False,-1.4498896626986026,0.0,0.025945923117590808,0.011588920914556763,
cat__mental_konsentrasi_True,1.4498896626986026,0.0,0.033631721177621664,0.0027196263352884213,
cat__fisik_punggung_False,-1.3135625269849802,0.050067548,0.03609791021716857,0.030854382099746624,
cat__fisik_punggung_True,1.3135625269849807,0.0,0.024705018660631173,0.02976567023225564,
cat__mental_depresi_True,1.3465112039576004,0.0,0.0,0.0,
cat__mental_depresi_False,-1.3465112039575997,0.0,0.0,0.0,
cat__fisik_lemah_False,-1.231951254749905,0.0669547,0.01075073621420305,0.021950371216959513,
cat__bidang_Teknik Geofisika,1.3052249203776254,0.0,0.0,0.0,
cat__kota_asal_Lampung Selatan,-1.6224463995370593,0.0,0.0,0.0,0.0074827921308654784
cat__fisik_lemah_True,1.2319512547499052,0.0,0.017571323690937758,0.01663788553970624,
cat__tinggal_sendiri_False,1.4935700606998168,0.0,0.0,0.0,0.03225232305061271
